iter	Passed	Remaining
1031	85048	79774
1032	85115	79677
1033	85185	79582
1034	85247	79482
1035	85318	79389
1036	85387	79294
1037	85458	79201
1038	85531	79110
1039	85603	79018
1040	85686	78936
1041	85774	78859
1042	85847	78768
1043	85915	78673
1044	85988	78582
1045	86058	78489
1046	86128	78395
1047	86197	78301
1048	86264	78205
1049	86333	78111
1050	86399	78014
1051	86467	77919
1052	86537	77825
1053	86609	77734
1054	86692	77653
1055	86774	77570
1056	86846	77479
1057	86917	77387
1058	86988	77295
1059	87061	77205
1060	87130	77112
1061	87201	77019
1062	87277	76932
1063	87350	76842
1064	87433	76760
1065	87518	76681
1066	87586	76587
1067	87672	76507
1068	87776	76445
1069	87877	76379
1070	87976	76312
1071	88042	76216
1072	88119	76129
1073	88197	76043
1074	88266	75950
1075	88341	75861
1076	88408	75767
1077	88482	75678
1078	88556	75588
1079	88632	75501
1080	88716	75421
1081	88801	75341
1082	88880	75256
1083	88948	75162
1084	89020	75072
1085	89094	74984
1086	89163	74890
1087	89233	74798
1088	89302	74706
1089	89373	74614
1090	89440	74520
1091	89514	74431
1092	89587	74342
1093	89672	74262
1094	89767	74191
1095	89858	74117
1096	89929	74025
1097	90000	73934
1098	90047	73823
1099	90115	73730
1100	90189	73642
1101	90258	73550
1102	90329	73459
1103	90395	73364
1104	90471	73277
1105	90543	73188
1106	90607	73091
1107	90687	73008
1108	90780	72935
1109	90859	72851
1110	90932	72762
1111	91003	72672
1112	91078	72584
1113	91148	72493
1114	91218	72401
1115	91284	72307
1116	91362	72222
1117	91436	72135
1118	91508	72045
1119	91581	71956
1120	91678	71886
1121	91761	71806
1122	91842	71723
1123	91913	71633
1124	91981	71541
1125	92055	71453
1126	92127	71364
1127	92202	71277
1128	92298	71206
1129	92394	71135
1130	92463	71043
1131	92536	70955
1132	92604	70862
1133	92694	70788
1134	92780	70709
1135	92865	70630
1136	92951	70551
1137	93041	70475
1138	93121	70392
1139	93189	70300
1140	93258	70209
1141	93331	70121
1142	93411	70038
1143	93481	69948
1144	93557	69861
1145	93630	69773
1146	93721	69698
1147	93802	69616
1148	93874	69527
1149	93945	69437
1150	94018	69349
1151	94091	69261
1152	94183	69187
1153	94270	69110
1154	94342	69020
1155	94411	68930
1156	94487	68844
1157	94556	68753
1158	94629	68665
1159	94732	68599
1160	94820	68522
1161	94908	68445
1162	94995	68367
1163	95083	68290
1164	95176	68216
1165	95251	68130
1166	95342	68055
1167	95420	67970
1168	95492	67882
1169	95568	67796
1170	95637	67705
1171	95725	67628
1172	95817	67554
1173	95912	67481
1174	95986	67394
1175	96061	67308
1176	96134	67220
1177	96205	67131
1178	96277	67042
1179	96351	66955
1180	96417	66863
1181	96492	66777
1182	96564	66689
1183	96634	66599
1184	96721	66521
1185	96797	66435
1186	96867	66346
1187	96939	66258
1188	97009	66168
1189	97083	66082
1190	97157	65995
1191	97228	65906
1192	97301	65819
1193	97378	65734
1194	97452	65648
1195	97529	65563
1196	97655	65511
1197	97797	65470
1198	97928	65421
1199	98020	65347
1200	98139	65290
1201	98237	65219
1202	98321	65139
